catchment,u,u,pro,pro,TX,TX,Pkorr,Pkorr,skorr,skorr,GscInt,GscInt,OVP,OVP,OVIP,OVIP,Lv,Lv,rv,rv
id,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max,min,max
default,1,3,0.05,0.05,-2,2,0.7,2,0.7,2,0.0005,0.07,NaN,NaN,NaN,NaN,0.01,0.07,0.5,2
